post,new_topic,label
"And yet not a single writer in this series notes a fundamental irony: Despite the declining number of young men and women who express interest in attending a single-sex college, thousands of these same women and men every year enter co-educational institutions, then immediately set about segregating themselves: from men- and women-only dorms to sports teams to fraternities and sororities. Let's not fool ourselves. The experience of higher education in this country is profoundly gendered, no matter how much some of these contributors would like us to believe otherwise.",single sex college,1
"The UC system was envisioned in the 1960's to admit 13% of California high school students. Today, in practice, approximately 9% are admitted. Some of the reduction in admittance rates results from the fact that a larger number of students from out of state are admitted in order to capture more revenue. Regardless of this student's grades or scores, the fact is that a very large number of highly qualified students are turned away from the UC system every year. The impact is serious--they attend lesser in-state schools, go to out-of-state public universities, or they attend private schools. The other in-state schools are less expensive, but do not provide the same quality of education. Out-of-state public universities and private schools cost much more money, making these options harder for students to pursue. This doesn't seem like a wise education policy. The State of California ends up with a large number of students who are less educated, have higher debt rates, or leave the state permanently.",uc system,1
"Gene patents are bad law instituted by jurists who have not the most basic grasp of genetics nor of natural processes. The law normally separates natural phenomenon or acts of God from human endeavors but in this set of laws it does not. Currently, there are patents upon people's genes that are base upon describing them and nothing else. It's the same as patenting the moons of Jupiter to Galileo, inane.",genetics,0
Declawing is a horrible procedure. The cat is in excrutiating pain after afterwards and it is completely unnecessary. Get scratching posts; claw covers; use a squirt bottle with water;...all the declawing is because people who aren't cat savvy feel that their furniture is more important OR they don't like the sound OR they are scratched playing with the cat. This is a barbaric procedure. Those who implement it on their animals are not even remotely interested in the cat...it's all about what THEY want. Try having your fingernails removed people...see how you like it.,your cat,1
"We recently visited a no-tipping restaurant in Athens, Ohio -- Casa Nueva -- and I was surprised how liberating it felt with no need to tip. We just paid the stated price for our meal, period. How simple! And I felt good that the waitstaff (and behind-the-scenes cooks and busboys) were making a good wage. I've waited tables and I know the thrill of big tips, but as a diner I now vastly prefer the flat-rate, no-tip system. End tips, raise my prices and pay the waitstaff a great wage, please!",restaurants,0
"And who was the cause Islamic radicalism, israel? People tend to go supernatural when faced with hopelessness, despair and oppression. And who had created those conditions in and around the Arab world and for whose benefit? I leave that to Israeli leaders to think in their little twisted ideological bunker",israel,0
"The California Bar Exam is supposed to be one of the toughest, but it really wasn't all that difficult. The standard should be raised so that people who are not fit to be lawyers don't waste their time on a profession that will not be good for them or their clients.",the bar,1
"great article - as a child of a 'western-parenting style' family who is married to an asian man who grew up with the same chinese-style parenting addressed in her article - I believe that this kind of parenting WILL eventually create independent, thoughtful adults - who have the confidence and skills to succeed in this competitive world. I admire my husbands' values - in college, he pushed me to do more than I ever thought possible - and he has instilled high expectations in me for academia, life and yes, even health! He doesnt hesitate to tell me I need to workout - as she indicates she would not hesitate to tell her daughter the same - simply because it is for her own good. Honesty is true love. High expectations in all aspects of life reflects admiration; for the person you are inside, for the person you are with and even for your children. As a undergrad major in sociology - i've studied parenting styles and its effects on long-term success - her method simply works and the vast statistical data I've come across supports it.",parent,0
"I have been secular all of my adulthood. I was a kibbutznik. I am a labor Zionist; I am not a religious Zionist. When Bailey Smith was SBC president, he said ""God does not hear the prayer of a Jew."" Do you agree? Do you admire Jewish culture and Judaism, or only Israel for your own prophesies? What is your stance on Jews For Jesus - do you and your parishioners fund them? ""First, they believe God gave the Holy Land to the Jews forever"" Evangelicals fund the Settlers and their politicians. They tell Settlers the bible justifies stealing from Arabs, and egg on Settlers into violent clashes with Arabs. The most recent was a near lynching in Jerusalem, of an Arab teenager. Hagee, a closet anti-Semite, has built West Bank facilities for Settlers only; Arabs are not welcome. Should we mistreat Arabs in Brooklyn, or just Israel? Should we expropriate property from Arabs in Brooklyn, or just Israel? Evangelicals support Jewish only developments in Israel. Should there be Christian only developments in the States? Carter and Obama try to be fair to both sides, and are excoriated for it.",israel,0
"My impression is that this commentator's restaurant business is marginal. He seems to have a problem with no-show reservations made through an online reservation service that costs him money. It seems to me that he is missing the concept that having his restaurant appear online, either on Resy or Opentable, amounts to advertising to the general public. On Resy, it is the customers, not him, who pays for the advertising. He seems to be heading toward the idea of making his restaurants more like dinner clubs for regular diners, and also VIPs, whoever they are. (Maybe he means the VIPs are the people who pay for a reservation.) Well, good luck with that. At the restaurants I like it seems they treat everyone who walks in the the door as a friend or a VIP, even when they apologize and put you on a waiting list to be seated.",business,0
"Solving the Israeli-Palestinian conflict would take away much of the motivation for terrorism around the world."" Everyone's been saying that for years. We should start sending security bills to Tel-Aviv Israel is only bringing the US down in its International Stature and sucking up the tax dollars of Americans across the country! The US is only a pawn in Israel's hands.",israel,0
"I think this is a problem for most big cities like New York, Chicago, LA., Toronto and Montreal...and like is so often in these big cities money works for the wealthy. It buys great medical care, great dental care and great dinners. I come from the land of Joe Beef and Au Pied du Cochon and I can see myself buying a table at the last minute but if I don't care when I eat there then I will simply wait for an OpenTable or call. But then again our restaurants tend to be on the smaller size more petite size. Sometimes it take being a Chef to get into some of them.",wealth,1
"This $18B is widely debunked as all expenses, not the Mexican border, start by subtracting Customs for example, for rational numbers. Besides in an era when we routinely overspend a few Bill per day or hour, what is $18B for border security, and we are turning people away, i say more money for more turnaways. The fantasy that employer sanctions is real, is the fantasy that out underground economy does not exist. To use our favored dug deal motif, if our purchasers of contraband, illegal labor, are the criminals, then the sellers are the greater criminals, sp stop illegal sales, of labor or drugs, at the border first. This employer focus is burden shifting and exonerates the offerors of illegal supplies. as well as being fantasy and employer-bashing.",illegal labor,0
"Agree with poster who said that language study should be mandatory well before college! If a college student is already proficient in two or more languages, then by all means let them study poetry or science or whatever else grabs them. But no US college graduate today should be monolingual since understanding the people(s) of the world is of the utmost value for reasons both practical/geostragtegic and intrinsic. US DOD used to subsidize foreign language study much more than it does today--a pity, and a danger.",college,0
"I waited tables and delivered pizza in high school and college. These days, to cover my second mortgage, I do anything ... including work for a catering service. I work hard and get tipped well. I've discovered that tipping is like manners, both are taught from an early age and area necessary measure in working relationships. I can always tell the difference between someone who doesn't have enough funds to tip and someone who is indifferent/ignorant/cheap. I always though everyone should have to work a job where they depend upon gratuities as part of their compensation. Nobody tips as well as others who work (or worked) in the service industry. Want the alternative? Go live in Europe... where the service is lazy, indifferent and hostile. I always thought the American system would put a jump in their step on the continent !!",tip,1
"Sweden and Great Britain have open the gates for recognition of a Palestinian state at UN. Sooner than later, the majority member countries will follow suit. The (official line) arguments presented by Ms. Leibovich come too little, too late. Israel has always ignored UN pledges for good faith negotiations with the Palestinians because US unwavering support. Washington, however, is losing diplomatic control over its allies and friends. Israel soon will be facing (another) awkward diplomatic position at the UN. It will be occupying land of an invaded sovereign state recognized by the world community. A good challenge for the able Israeli-American diplomacy to defend at the UN.",a palestinian state,1
"There are many things that I find objectionable. Intellectual sloth, for one. The dumbed-down science and mathematics. The teachers' sloppy grammar and spelling. The language study that never gets beyond tourist phrases and insincere smalltalk. The pathetically underequipped half-efforts that pass for art classes. Why fear fringe lunatics? Are not the rigorists among us strong enough to make requests of our own?",language study,1
"The idea that Mr. Adams supports--self-regulation by companies--is deeply flawed. While waiting for the markets to punish companies for bad behavior, many people are harmed. The harm can be both financial and physical. The lag time between the misdeed, the discovery, and the correction can be years. Many of the regulations we have in place are reactions to the failure of individuals and companies to behave in ethical and legal ways. Businesses fumbled away their opportunities for self regulation a long time ago. That said, businesses still have a right to participate in the writing of regulations, as do their customers and other stakeholders. Regulations are, by nature, burdensome. Often the weight of the burden is prompted by the serious nature of the original offense.",self-regulation,0
"It is an unassailable fact that race-based affirmative action favors wealthy immigrants from Africa, wealthy and upper-middle class blacks, and upper-middle class hispanics, while hurting poor Asians and whites. If you replaced race with income, the right people would be helped. In the current system, people who don't need the preferences get all the benefit to the detriment of those that deserve it. Regardless, race-based affirmative action at the college level is WAY too late to create any significant change. You need to start at kindergarten.",income,1
"Marijuana is no more a gateway drug than alcohol or milk for that matter. Addiction disorder comes in many forms, but it is the mental disorder that requires our attention and not the vice. Haven't we wasted enough time, money and lives to learn this lesson???",marijuana,1
"In James 2:14-26 Paul writes: ""What good is it... if someone claims to have faith but has no deeds? Can such faith save them? Suppose a brother or a sister is without clothes and daily food. If one of you says to them, ""Go in peace; keep warm and well fed,"" but does nothing about their physical needs, what good is it? In the same way, faith by itself, if it is not accompanied by action, is dead... Show me your faith without deeds, and I will show you my faith by my deeds... You believe that there is one God. Good! Even the demons believe that--and shudder... a person is considered righteous by what they do and not by faith alone... faith without deeds is dead."" Don't blame Christianity for her fanatical and cruel spiritual materialism",christianity,1
"Of course we need more secure borders. We must decide at the very beginning if we are going to have borders or if we are not. If the answer is that we must have borders, then those borders must be secure, or they might as well just open them to the world. Not an easy decision, but one which must be made. According to most estimates, there are 11 million undocumented immigrants in our country. Some estimates are even higher. If we have, so far, been unable to locate. identify and detain those 11 million people, how will we find and detain the next 11 million after this current group is processed and given what they have been seeking? And the next 11 million after that? And the next? And the next?",border,1
"All the happy, highly successful parents that I know (Chinese or otherwise) have raised their children using positive encouragement to foster a love of the skills that lead to success. Being excessively harsh and emotionally abusive with your kids reminds me of Homer Simpson threatening to put his father in a retirement home: Grandpa: ""You already put me in a home"" Homer: ""Then we'll put you in the crooked home we saw on 60 minutes""",emotion,1
Change will not come to the essential text of the Muslim world or culture. Capital punishment for seemingly minor crimes. Disrespect and abuse of women. Harsh punishments and imprisoning of dissenters. Even much more than these few examples. The only thing that can do the job of civilizing those with these kinds of beliefs is a modrate regime change. This will only come through a similar type of revolution that put the current Iranian regime in power.,iran,1
"As a former network and radio communications specialist for the U.S. Army and a small network administrator, I believe that I can say with confidence that I agree, eliminating librarians so that they can be replaced by technology is a gross diseconomy. First, the school board must be forgetting about the fixed costs of maintaining a library. Second, there is a complete neglect for the fact checking costs. Third, current technology costs are prohibitive; the school board's enthusiasm about the power of technology, though understandable, is misplaced. Then, there are the children themselves to be considered. What level of confidence will these children be able to have in the integrity of their resource material without a person to person interaction that will be able to uncover the specific focus and the nature of the child's, or the adolescent's, inquiry. That alone should be reason enough to reconsider.",library,1
"The repeated tactics by many food companies to find new ways to promote products that can be misleading to consumers is often shameful and deep rooted as one of the ways to battle the effects of growing health concerns. As more and more people try to change their eating habits it is critical that labels are clear, easily understood and enforceable. Proper labeling is one of the ways to ensure that consumers have the information needed to make informed and accurate decisions.",health,1
Wanting to go to a single sex school is no different ultimately than wanting to go to a warm weather school or a school in the mountains or a snowy New England school. It is a landscape with a lot of valid choices. If you've ever visited Wellesley or Smith you will see an amazing learning environment in both locales. That schools struggle and go away is a natural thing: the landscape changes and the choices have increased dramatically. The idea that someone can state that single sex education is in any way bad is silly. It is not for everybody but please don't come up with theories to suggest it is not a choice for some: remember we've cultivated a pluralistic society where our wants and needs understandable differ.,single sex schools,1
"I had an intervention-free hospital birth with my first daughter and a home water birth with my second daughter. Women have been giving birth since the dawn of time. Why would we think that we need to be in a hospital, surrounded by strange germs, impersonal nurses/obs when we could be in our own home trusting the power of our body. It is time women learn to trust in their bodies, stay low risk through diet and exercise, and research research research. We do not have to be afraid of what our bodies were made to do. With the supervision of an experienced midwife, trained in natural birth, home births are safer than hospital births.",giving birth,1
"What is the outcome of those students expelled from charter schools? Where do they go and where do they end up? I see the extra suspensions in charter schools as a failure of the business model and as a business, they should be liable for the results and restitution from the charter school is in order.",charter school,0
"When faced with lemons, make lemonade. Here's an opportunity to develop holistic learning communities that include schools and libraries. Expand cooperative programs between these two foundations of a literate society; expand access (hours and transportation to) at both schools and libraries; develop synergies between teachers, librarians and IT specialists.",holistic learning,1
"""More of the Same is Not a Solution"" Absolutely right - so let's stop doing the same thing: Let's stop funding the public schools, which have been doing the same thing (creating curricula based on political motivations) and have been consistently failing. Phase out the public school system. Allow anyone and everyone who wants to create a school - to teach arithmetic, English, physics, creationism, evolution, global warming, diversity, Ebonics, computer programming, metal shop, cooking, basketball, or basket-weaving - do so, and let them charge what they wish. Let them accept any students they want, and let them hire whoever they want to teach. Let parents have the freedom to choose the school, the teachers, and the lessons they want their children to learn. Lay off the school boards, and the school committees, and board up the entire Department of Education. Let the government bureaucrats run a bake sale to keep up their standard of living. Anything else is just a perpetuation of the same problem: Government-run public schools. Get the Government Out of Our Children's Education.",public school system,0
"Some of us don't buy into the Leave It To Beaver fantasy that people like this author think we should all just Stepford our way into. With jobs that pay a living wage unavailable and college debt financially crippling for a lifetime, most young people don't see any good options because our generation took all the money and ran.",young people,1
"If taxes on capital gains were pushing capital to other countries, we would see elevated US interest rates. Since that is not the case, clearly US capital is not flying overseas. If there is a lack of productive investment, it is because demand for goods and services is depressed - why invest in new construction/capital goods/consumer products when millions of people are out of work and demand is low? We have a demand problem here - the solution is to increase demand - more gov't spending- esp on those who will pass a high % of the gov't funds on to businesses - i.e. the poor. This will stimulate demand - lower interest rates, not taxing capital gains is just pushing on a string.",capital gains,1
"From what I have read, MT did not give her patients painkillers, even tho she had the money to buy pain killers A person who would do that is not a good person Why can you not see this ? Surely, if someone you loved was ill with cancer, and the doctor said, I'm not going to give your loved one pain killers because suffering is good for the soul, surely, you would not say that doctor is a good person ????? look into thine own soul, oh seer, and tell us what thou seest",painkiller,0
"Dr Gallardo says: ""Not surprisingly, labor accounts for 46 percent of all variable costs for growers (based on Washington-grown Gala apples)."" Now let's ask what Dr. Gallardo has avoided telling us: ""What percentage of the FULL costs, including land does labor cost."" In most agriculture, land rents, the landowners' profits are the major chunk of full costs. If labor costs went up, even before prices went up, the price of land would go down, bearing the brunt of the increased cost of labor. There is no reason fore the land to disappear. There are not that many alternative uses. It's not like farmers, who claim to have built the land with their own two hands, will stop building land. Why do we insist on keeping many hundreds of thousands of people in deep poverty to keep fruit cheap and landowners rich? Why is that a fair policy? And who among the Times six ""experts"" (including ""immigrant advocates"") is here to represent the interests of American workers who are required to work for less because of illegal immigration?",farms,0
"Every thing found in nature got to be by some kind of mutation and even engineered genes are now found in nature. The difference would not be detectable unless one has prior knowledge of some kind. So engineering is a cause of mutation as well as human intervention. The purpose of patents is to provide a monopoly in the market for the innovators in order to encourage innovations. But extended monopolies tend to discourage further innovations, so the length of patents must be limited. The patenting of naturally occurring gene sequences has resulted in the legal requirement of anyone treating conditions related to those sequences patented be approved by and compensation provided to the patent holders. It's a perverse use of patents that actually inhibits innovations and blocks medical care for seriously ill patients. It's morally and ethically degenerate and it violates the principle that knowledge about nature is not subject to patents or copyrights. The subject of engineered genes should probably handled like horticultural products.",mutation,0
"I have to agree with Wurman to the extent that ""If we are to have any hope of meaningfully increasing the literacy of our students, the solution must lie with classroom teachers and not with libraries and librarians."" What he neglects to include, however, is how important the school librarian can be in ensuring that teachers have the necessary resources and skills to work with students in improving literacy. Keeping abreast of literature and new technologies that will meet the needs of the wide range of learning styles and abilities within one school is a yeoman's job. To expect the classroom teacher to be that expert without support is once again expecting too much from teachers, leading to many leaving the profession. A school librarian, if the right one is hired, can be the school leader in information resource management and use.",school librarians,1
"Drones are perfect for ensuring the hatred of the populations being attacked. Moreover, they are cowardly. They remind me of a Harvard student playing violent games on the internet in a safe dorm room. And they do play video games at that school.",drone,0
"""Marijuana Is Now Big Business"" Wrong - marijuana has been big business for decades. The California Dept. of Agriculture has listed it as the number one cash crop in the state for over 20 years in a row. Now, the business is above ground, where it should be. Regulation, taxation, better education, savings in enforcement and incarceration costs - everybody wins. We are slowly now heading in the right direction - ending the biggest and most widespread wrongful jailing of American citizens since slavery. It can't happen quick enough.",marijuana,1
"The problem with this philosophy is that a lot of innocent people get hurt when self-regulation fails. People who own VWs may see declines in the value of their cars. Workers at VW may lose their jobs. The car dealers who sell VWs will experience declining sales. Stockholders may end up losing more than they ever gained from the fraud. Competitors who did not flout the rules have already suffered. There is also the possibility that VW as a corporation won't, in the end, have to pay for their behavior. Without the threat of punishment for failing to comply with regulations, what is the recourse for society? It's the air quality that affects everyone that was damaged.",self regulation,0
"If the ABA had its way I would not have a California license, having attended a working person's night school, Citrus Belt, now California Southern School of Law, operated by the Hon. Elwood Rich, Judge, Deceased. My class had a 69% first time pass rate in 1979, including myself. I was accepted at several ABA accredited schools, but they required I sign a declaration under penalty of perjury that I would not work while in law school. Since I had to work to afford the schools, I refused to sign and went to a non ABA accredited law school, where I worked full time, usually seven days a week. I have maintained a successful private practice ever since. To me, the purpose of the ABA and the testing board is to limit the number of licensed lawyers. In the 1960 and 1970s I recall the pass rate to often be below 50%. In any event, I think the test should be open to anyone wishing to take it, and I am against ABA requirements which limit the potential background of attorneys.",law,0
"By this logic, we should privatize air, and let the free market work out whether or not a private entity can poison it. Oh wait, that is our current law. Silly me. But really, why not let industry settle on the coast and let the market decide just what it can dump into the waters that wash up next door in public lands and residential areas? Oh wait, we do that too. I guess you've already won, dude.",air,0
"Bravo! cats with front claws often do terrible damage to furniture. While it is politically correct to object to it, the fact is there will be fewer homes for cats, who will end up being euthanized. The comparison isn't between an imaginary garden of Eden and declawing, but rather the choice is between more feral cats and more put down. Those of us who love cats don't want to see well-meaning humans decree that millions of cats suffer to meet the needs of humans.",your cat,1
"Like Mitt Romney, she has no regard for the American lower class and is ignorant of those unlike her. Newflash: lots of Americans do not graduate college, or even high school and could do the manual labor commonly done by immigrants. Watch any kitchen, landscaping, roofing, tree trimming, nonunion construction or day labor crew and see if you can spot anyone who is not an illegal immigrant other than the boss who is enjoying paying them below minimum wage, with no benefits, under the table.",american lower class,1
"Marriage as it pertains to government's involvement is an issue of tax law, entitlement benefits and property rights (especially in the case of divorce), government should not be defining morality. Leave morality to the churches, etc. Either government legally protects consenting adults to enter into any type of marriage and provides equal benefits in such unions, or the government completely removes itself from all marriages.",marriage,2
"Also egregious are the fees for checked baggage, at $25 - $35 per bag. This has resulted in the need for far more TSA agents, a cost paid by the taxpayers and thus a government subsidy. If the industry is subsidized, the government has every right to step in and regulate.",government,0
"Those who argue to continue the embargo are not sincere. They are representing the families of the rich land owners who fled Cuba after the revolution. They just want their land back, but that is not in the people's best interest...of Cuba or the US. Even today's Communist Cuban government is not as repressive as the rulers they replaced.",embargo,0
"Airline deregulation was driven by the theory of contestable markets. The theory doesn't work when there are no new or potential entrants, which seems to be the case today. Almost unnoticed, however, the Acela has reduced air travel between New York and Washington, DC by half. High-speed rail in other corridors will likely do the same. It is only a matter of time. Still, miserable in-flight conditions should be regulated as matters of health and safety. Minimum pitch (legroom), seat width, and luggage space, perhaps dependent on flight duration, should be considered. Passengers in seats without overhead luggage space (the last two rows in many 737s) should be permitted to check baggage without charge. And seats should be held for passengers who have unavoidably missed connections.",airline deregulation,1
"Israel is destroying American interests in the M.East. The Palestinian People should pursue their dream and free themselves of American influence. America has historically misled Muslims of the Middle East in Favour of Israel. America sees no wrong in lying to the Muslims of the Middle East by allowing Israel to have the Atomic Bombs - Weapon of Mass destruction. If it were not for American Dollars, American Intelligence and American Manipulation the State of Israel would be history.",israel,0
"The U.S. DHHS estimated, in 2008, that more than 18% of our population smokes pot. More than 55 million Americans. Under prohibition they are all subject to becoming coerced by the courts ""patients"" of Prof. Evins and her profession cohorts. Legalized she, and her pharmaceutical industry sponsors, lose that potential court ordered government business. Dr. Evins CV: ""Dr. Evins has been the recipient of a career development award from theNational Institutes of Drug Abuse (NIDA)"" ""Career development"" indeed.",pot,1
This argument is pure nonsense and NY Times readers deserve better. Migrants coming from the safety of Turkey are not in search of safer zones. Migrants who refuse to come to France because they want to go to Germany are not in search of safer zones. Migrants who bully their way to their desired destination are not in search of safer zones. Please stop trying to shove this argument on readers. Just because you repeat it does not mean it becomes any more believable.,ny times,1
"MDs are not scientists. Correlation is not causation. I'd rather someone self-medicate with (preferrably legal) Marijuana. Prohibition makes hard drugs seem equivalent and risks making the gateway claims self-fulfilling. Robert Dupont, MD, from wikipedia: He claims that marijuana is ""the most dangerous drug"",[11] a claim that is at odds with current scientific consensus.[12] He served as a paid consultant for Straight, Incorporated, a ""controversial non-profit drug rehabilitation program"" for youth that was the subject of numerous allegations of abuse and which was successfully sued for false imprisonment and maltreatment.[13]",marijuana,1
"If businesses want highly productive workers they'll start by changing the goals of the HR department from parts replacement to cultivation. Find out what motivates employees to work there: it will be different for each as they are individuals. Next, monitor managers: if they go through staff it must be for a reason. Fix him/her or replace the manager. Second, get rid of the annual review or the promise of an annual bonus. Instead, establish annual awards that allow anyone a chance at a big prize. I've made significant contributions to companies where I've worked and seen my hard work go to some hand-picked politico who did little but criticize me while I did the major lifting. The same with the annual review. Simply offer the worker more if he deserves it and be done with it. If the employee wants a review then let him/her suffer through it.",workers,1
"Assad is a dictator... but, this is what that part of the world needs. Iraq fell apart after we removed Saddam Husein...and as a result, the Sunni insurgency began, Al Quaeda reincarnated and ISIS was born ... all in Saddam's absence. Our war in Iraq was a mistake, our war in Libya was a mistake... we must not repeat those same mistakes in Syria. Tyrants like Assad are what keeps the extremists under control. The culture of the middle east needs those dictators that keep the extremists in check... removing those dictators will open the flood gates of Islamic extremists that could threaten the world as ISIS is doing now. We need to work with Assad, with Iran and with all those countries and groups who have been fighting ISIS.",war,0
Those banks have FREE USE OF OUR MONEY for weeks and months and years on end. Their business model is supposed to involve lending that money out at interest and generating profits that way. Fees? What do they need to charge fees for? Greedy bums!,fees,0
"My indoor cats love scratching stuff. Therefore we have scratching posts, cardboard scratching rectangles / circles / squares, next to every piece of furniture we care about. Cats almost never scratch on furniture as they prefer these things. Really, there's no reason to de-claw.",your cat,1
"Since many teachers don't actually teach, are left by the administration to run a classroom any way they want to, since it is extremely rare for any public school to have a code of conduct for teachers, for instance that they grade homework in a timely manner and provide prompt feedback, parents must too often fill in and do the individualized teaching that their kids need, and are not getting at the school.",teacher,1
"EXACTLY! BUT Single Payer, while reasonable, and what every other Western country considers a right, is just never gonna happen here...look what they are doing in response to this less-than-perfect minor changes that is trying to get more people covered. Pathetic.",right,0
"As long as the US continues to advocate a two-state solution, it will be perceived as pro-Israeli. For the occupation of Palestine to be reversed, and for the apartheid to end, a much more radical solution is needed, namely a one-state solution with equal rights for jews and arabs. This is seen as a major blind spot in US foreign policy. There seems to be no concerted effort to end the oppression of Palestinians. Why not? Everyone assumes that the pro-jewish lobby would never countenance that sort of change. So the impasse continues ad infinitum.",israel,0
"If there will always be ways to cheat than perhaps the regulations and laws should be about outcomes, not about methods. Suppose instead of a regulation describing a testing station the law said that if a car exceeded the pollution standards the manufacturer would have to refund the full original retail price of all units of that model car (including sales tax) and pay a fine for all the miles driven. Then all the mechanisms in the world for cheating wouldn't matter; just getting caught once would be the end of the corporation. Inventions guarantee that methods will change but the outcome is the outcome.",cheat,0
"Unless the thirteenth amendment is replaced with an amendment that does not institute slavery in the whole of the United States, we will have this debate. Slaves are inherently disenfranchised and all felons are slaves. This fact should not continue to be ignored.",felons,1
"What is the motivation of people who lobby Congress to strengthen the patent monopoly? Is it the public good? Not likely. Like extending the copyright term to life of the author plus 80 years, does that fulfill the constitutional rationale to ""promote the Progress of Science and useful Arts?"" It's ironic that since individual inventors are now asserting patents more against corporations, Congress and the President are up in arms about patent ""trolls."" Myriad seems the biggest ""troll"" of all, blocking research and testing. Patent were fine when they lead to high pharmaceutical company profits and kept small players without patent portfolios to cross license out of markets, but patents become a problem when inventors sue companies?",patent monopolies,0
Does anyone really believe that an independent Palestinian state would remain peaceful or intact for very long? What are the odds of another meltdown in that state in a region that is in chaos at the moment? How would minorities be treated in such a state? What are the odds of it being undermined by fundamentalists? Just asking.,a palestinian state,0
Markowitz like most other liberals is in fact the ultimate hypocrite. When the Red states passed their anti-illegal laws liberals response was that they usurped the Federal Government's role as the sole authority where immigration was concerned. How does this proposal not do exactly the same thing albeit in the opposite direction?,liberal,0
I'm not sympathetic to felons but there are many with essentially minor possession convictions who are felons for no good reason. Any attempt to exclude felons has to take the deeply racist nature of drug enforcement into account. Aside form that sticking point I don't believe that felons should vote.,felons,0
Zionist jews and their supporters were responsible for Palestinian suffering. But the jews have violently determined the fate of Palestinian people and they were and still responsible for their misery and suffering. Palestinian next generations will remember and will never forget or forgive.,palestinian suffering,0
"I think that parents should not have the right to change every lesson they dont like. If they dont like the then they should ask for the student to learn something else not change the lesson. If parents are so worried what there children are learning then they should put them in pirvate school. Also teachers have gone to school for this , this is what they do for a living so i think they know what to teach kids.",kids,1
"Language study is about more than language study; it has long been and remains at the heart of the humanistic disciplines. This is the case, because it is seems impossible to understand how meaning is made with language without having studied a language other than one's own. To encounter a word or a phrase we don't understand is often the very first step in making sense of a culture other than our own, whether a contemporary culture or one that existed in the different past. Studying a language, moreover, helps us understand better who we are by recognizing that there are ideas that we can't quite express in our own tongue. And even if we make good progress in the study of a language other than our own, we are constantly reminded of how little we in fact understand about another tongue, another system of thought, a foreign vocabulary. Without this requirement colleges and universities will become increasingly untethered from a practice that has done as much as any other single practice to expand our sense that it is no mean feat to make sense of someone born in a land or in a time other than our own.",language study,1
"For some. success is achieving things that makes their parents proud of them, and results in others looking up to them. But in some cases this is meeting the expectations of others, not necessarily oneself. People need to have the independence (from their parents) to develop a sense of who they are as individuals. I would argue that a mature individual achieves success when they do things that make them feel good about themselves (for example being a social worker rather than a neurosurgeon) regardless of what others think I am reminded of lyrics from the song Garden Party sung by the late singer Rick Nelson - ""you can't please everyone so you've got to please yourself"".",success,0
"Do laws of prescriptive easement not apply to the road this fellow closed off? It is my understanding that if a precedent has been set by allowing people to use such a route for a certain number of years then it is nearly impossible to close such down, even if you have recently purchased it. The previous owner by allowing such access has established a route for people to get to the beach which is owned by all of us.",prescriptive easement,0
"Go, Nina! After years as a vegan (and the dangerously low cholesterol levels that came with it), I couldn't agree more that humans are omnivores by design. No doubt that many of us don't get enough veggies, but that's not justification for ignoring our ancestry and anatomy/physiology. I didn't believe it until my own health suffered half way through my first year in naturopathic medical school, but there's no room for doubt now.",omnivore,0
"Oh puhleez...go rent ""Who Killed the Electric Car?"" Exxon, Chevron, Shell are all playing golf right now figuring out how to stop this. We've had the possible technology since the seventies and then no one wanted to listen to poor Jimmy Carter...so we elected Ronnie Raygun and all was well. If this ever caught on, Exxon would have nothing to sell at their gas stations. Do you really think they will allow that? You will soon be hearing news stories about how bad these are. (a guy who commutes on an E bike...carbon equiv is 1200 miles per gallon.)",electric cars,1
"""The costs of inaction outweigh the significant risks of military intervention."" And exactly what are these ""costs of inaction"". I submit that we and the Syrians will be better off if we opt for ""inaction"". So far our military interventions in the Middle East have had bad outcomes for ourselves and the countries we were trying to help.",syria,1
"Yes, quality does matter, but few people either have the time or money to seek out that quality. Going vegetarian makes it easier to avoid most all of the industrial animal products in our supermarkets. Maybe the meat producers will take heed if we start demanding more quality as consumers or just stop buying meat by the pallet. I, for one, can't bear the thought of a female pig in a gestation crate for all her adult life.",meat,1
"She does not deserve the honor. She terrorized people into her religion if they were dying. It's the last gasps of primitivism and anti abortion extremists to build a wall of their heroes to keep out real charity, helping people escape poverty....sometimes requiring education and sometimes requiring terminating a pregnancy.",honor,0
"This debater, and his opinion in this article, betray a very weak understanding of history. Nato expanded into the former Soviet Union long ago. The majority of the former Soviet Block eastern European countries are already part of NATO. Ukraine is the largest country in Europe, and potentially one of the Richest, if you do not count the European portion of Russia. Standing by, and not helping Ukraine to defended itself against Russia, would be wrong from national security, economic and moral points of view. Forcing Russia to expose itself as an extremely dangerous, immoral, and brutal country that no other country should trust, should be the minimum price Russia must pay to invade and occupy Ukraine. Send Ukraine arms, intelligence and money. Let them defend their own country, without a stacked deck.",nato,1
"Please show me the study that proves that vaccines are either safe or effective. There are no such studies, but there are many studies that cause me to question their safety, not to mention the thousands of cases of vaccine injury documented on the VAERS site. If vaccines are safe, why has our government given monetary compensation to thousands of vaccine injured families through the VICP program?",vaccine,0
